ft-MSL,acres,acre-feet
1017.5,21630,821056
1017.6,21645,823219
1017.7,21660,825385
1017.8,21674,827551
1017.9,21688,829720
1018.0,21701,831889
1018.1,21715,834059
1018.2,21729,836232
1018.3,21742,838405
1018.4,21757,840581
1018.5,21771,842757
1018.6,21786,844934
1018.7,21801,847114
1018.8,21816,849295
1018.9,21831,851478
1019.0,21846,853661
1019.1,21862,855846
1019.2,21877,858034
1019.3,21893,860222
1019.4,21909,862413
1019.5,21925,864604
1019.6,21942,866796
1019.7,21959,868992
1019.8,21978,871189
1019.9,21997,873388
1020.0,22017,875588
1020.1,22038,877791
1020.2,22061,879996
1020.3,22085,882203
1020.4,22111,884414
1020.5,22137,886625
1020.6,22165,888840
1020.7,22194,891059
1020.8,22223,893279
1020.9,22254,895504
1021.0,22285,897730
1021.1,22316,899960
1021.2,22348,902194
1021.3,22380,904430
1021.4,22413,906670
1021.5,22446,908912
1021.6,22479,911158
1021.7,22512,913408
1021.8,22545,915661
1021.9,22578,917918
1022.0,22611,920173
1022.1,22644,922431
1022.2,22677,924694
1022.3,22710,926958
1022.4,22742,929228
1022.5,22775,931499
1022.6,22806,933774
1022.7,22838,936053
1022.8,22870,938334
1022.9,22901,940619
1023.0,22932,942906
1023.1,22962,945196
1023.2,22992,947491
1023.3,23022,949787
1023.4,23052,952087
1023.5,23081,954389
1023.6,23111,956694
1023.7,23139,959004
1023.8,23168,961315
1023.9,23197,963630
1024.0,23225,965946
1024.1,23253,968266
1024.2,23282,970588
1024.3,23310,972916
1024.4,23338,975243
1024.5,23366,977574
1024.6,23393,979907
1024.7,23421,982244
1024.8,23448,984585
1024.9,23475,986927
1025.0,23502,989271
1025.1,23529,991618
1025.2,23556,993968
1025.3,23583,996323
1025.4,23609,998678
1025.5,23636,1001036
1025.6,23663,1003396
1025.7,23690,1005759
1025.8,23716,1008128
1025.9,23743,1010496
1026.0,23769,1012867
1026.1,23796,1015241
1026.2,23822,1017617
1026.3,23849,1019999
1026.4,23875,1022381
1026.5,23901,1024765
1026.6,23927,1027152
1026.7,23953,1029541
1026.8,23979,1031936
1026.9,24006,1034331
1027.0,24032,1036728
1027.1,24058,1039128
1027.2,24084,1041531
1027.3,24110,1043939
1027.4,24137,1046346
1027.5,24163,1048757
1027.6,24189,1051170
1027.7,24215,1053585
1027.8,24241,1056006
1027.9,24268,1058427
1028.0,24294,1060851
1028.1,24320,1063277
1028.2,24346,1065706
1028.3,24372,1068140
1028.4,24398,1070574
1028.5,24425,1073010
1028.6,24451,1075450
1028.7,24477,1077891
1028.8,24503,1080339
1028.9,24529,1082786
1029.0,24554,1085235
1029.1,24580,1087687
1029.2,24605,1090142
1029.3,24631,1092602
1029.4,24657,1095062
1029.5,24682,1097524
1029.6,24708,1099989
1029.7,24733,1102457
1029.8,24759,1104930
1029.9,24784,1107402
1030.0,24810,1109877
1030.1,24836,1112355
1030.2,24861,1114835
1030.3,24887,1117321
1030.4,24912,1119806
1030.5,24938,1122294
1030.6,24963,1124785
1030.7,24989,1127278
1030.8,25014,1129776
1030.9,25040,1132274
1031.0,25065,1134775
1031.1,25090,1137278
1031.2,25115,1139784
1031.3,25141,1142295
1031.4,25166,1144806
1031.5,25191,1147319
1031.6,25217,1149835
1031.7,25242,1152353
1031.8,25268,1154877
1031.9,25293,1157401
1032.0,25319,1159927
1032.1,25344,1162455
1032.2,25370,1164986
1032.3,25396,1167523
1032.4,25422,1170059
1032.5,25448,1172598
1032.6,25474,1175140
1032.7,25500,1177684
1032.8,25526,1180234
1032.9,25552,1182783
1033.0,25577,1185335
1033.1,25603,1187889
1033.2,25629,1190446
1033.3,25655,1193009
1033.4,25681,1195571
1033.5,25707,1198136
1033.6,25733,1200703
1033.7,25759,1203273
1033.8,25785,1205849
1033.9,25811,1208424
1034.0,25838,1211002
1034.1,25864,1213582
1034.2,25890,1216165
1034.3,25916,1218754
1034.4,25942,1221342
1034.5,25968,1223933
1034.6,25994,1226527
1034.7,26020,1229123
1034.8,26046,1231725
1034.9,26072,1234326
1035.0,26097,1236930
